word,chinese
shirt,衬衫
shoes,鞋子
shorts,短裤
skirt,裙子
sneakers,运动鞋
socks,袜子
T-shirt,T恤
badminton,羽毛球
basketball,篮球
soccer,足球
swimming,游泳
table tennis,乒乓球
tennis,网球
volleyball,排球
catching,接住
jumping,跳跃
kicking,踢
playing,玩儿
riding a bike,骑自行车
riding a horse,骑马
running,跑步
skating,滑冰
throwing,投掷
door,门
desk,桌子
cupboard,碗柜
closet,衣柜
clock,时钟
computer,计算机
chest,胸部 / 箱子
chair,椅子
bookcase,书架
bed,床
air conditioner,空调
window,窗户
washing machine,洗衣机
TV,电视
toilet,厕所
table,桌子
stove,炉子
sofa,沙发
sink,水槽
shower,淋浴
lamp,灯
fridge,冰箱
living room,客厅
kitchen,厨房
dining room,餐厅
bedroom,卧室
bathroom,浴室
balcony,阳台
in front of,在...前面
above,在...上面
between,在...之间
behind,在...后面
under,在...下面
on,在...上
in,在...里
potato,土豆
pepper,辣椒
peas,豌豆
onion,洋葱
lettuce,生菜
cucumber,黄瓜
corn,玉米
carrot,胡萝卜
broccoli,西兰花
beans,豆
vegetables,蔬菜
lemon,柠檬
grapes,葡萄
blueberries,蓝莓
banana,香蕉
apple,苹果
fruit,水果
twenty,二十
nineteen,十九
eighteen,十八
seventeen,十七
sixteen,十六
fifteen,十五
fourteen,十四
thirteen,十三
twelve,十二
eleven,十一
numbers,数字
pineapple,菠萝
pear,梨
peach,桃
orange,橙子
mango,芒果
yellow,黄色
red,红色
purple,紫色
green,绿色
small,小的
big,大的
adjectives,形容词
watermelon,西瓜
tomato,西红柿
strawberries,草莓
turtle,乌龟
spider,蜘蛛
snake,蛇
rabbit,兔子
mouse,老鼠
hamster,仓鼠
goldfish,金鱼
bird,鸟
dog,狗
cat,猫
smelly,有臭味的
smart,聪明的
silly,愚蠢的
scary,吓人的
nice,好的
lazy,懒惰的
fluffy,毛茸茸的
cute,可爱的
clean,干净的
boring,无聊的
sleeping,睡觉
singing,唱歌
running,跑步
eating,吃
drinking,喝
climbing,爬
chasing,追逐
cola,可乐
coffee,咖啡
coconut milk,椰奶
orange juice,橙汁
milkshake,奶昔
lemonade,柠檬水
water,水
tea,茶
chicken,鸡肉
cheese,奶酪
burger,汉堡
beef,牛肉
fries,炸薯条
fish,鱼
egg,鸡蛋
cookie,曲奇
sandwich,三明治
salad,沙拉
pizza,披萨
ice cream,冰淇淋
father / dad,父亲 / 爸爸
cousin,表兄弟姐妹
brother,哥哥 / 弟弟
aunt,阿姨
great-grandfather,曾祖父
great-grandmother,曾祖母
grandfather / grandpa,祖父 / 爷爷
grandmother / grandma,祖母 / 奶奶
uncle,叔叔 / 舅舅
twins,双胞胎
sister,姐姐 / 妹妹
mother / mom,母亲 / 妈妈
friend,朋友
classmate,同学
has glasses,戴眼镜
handsome,英俊的
fat,胖的
bald,秃头的
old,老的
little,小的
has straight hair,有直发
has curly hair,有卷发
young,年轻的
thin,瘦的
pretty,漂亮的
dinosaur,恐龙
computer game,电脑游戏
car,汽车
boat,船
board game,棋盘游戏
blocks,积木
ball,球
puzzle cube,魔方
modeling clay,彩泥
jump rope,跳绳
jigsaw puzzle,拼图
kite,风筝
helicopter,直升机
doll,娃娃
yo-yo,悠悠球
train set,火车模型
teddy bear,泰迪熊
skates,滑冰鞋
skateboard,滑板
robot,机器人
fine,健康的
happy,高兴的
tired,疲倦的
busy,忙碌的
lunch,午餐
time,时间
meatball,肉丸
rice,大米
vegetable,蔬菜
soup,汤
apple,苹果
colour,颜色
yellow,黄色的
red,红色的
blue,蓝色的
green,绿色的
playground,游乐场
slide,滑梯
swing,秋千
seesaw,跷跷板
hold on tight,紧紧抓住
weather,天气
sunny,阳光明媚的
rainy,下雨的
cloudy,多云的
windy,多风的
clothes,衣服
shirt,衬衫
trousers,裤子
skirt,裙子
dress,连衣裙
hat,帽子
sock (pl. socks),袜子（复数）
game,游戏
play,玩耍
ready,准备好
hide-and-seek,捉迷藏游戏
move and freeze,移动和冻结游戏
throw sandbags,扔沙包
skip rope,跳绳
traffic light,交通信号灯
stop,停止，停下
go,去；走
wait,等；等候
zebra crossing,斑马线；人行横道
panda,大熊猫
see,看见
look at,看
tiger,虎；老虎
elephant,象
monkey,猴子
climb a tree,爬树
swim,游水；游泳
kite,风筝
toy car,玩具汽车
toy boat,玩具船
ball,球
cute,可爱的；漂亮迷人的
gift,礼物
toy train,玩具火车
